Sentença,Classe
Não vejo bandeiras pelas ruas e muito menos as tradicionais calçadas dos bairros sendo pintadas,NF
Pra falar a verdade nem os programas esportivos debatem o assunto,NF
Talvez o Mundial de Rússia seja o menos falado da história por aqui,NF
E ao analisar uma pesquisa feita pelo Datafolha nessa semana ficou comprovada essa sensação,F
O aumento daqueles que disseram não ter nenhum interesse pela Copa subiu de 18% (última pesquisa feita nas vésperas do Copa da África em 2010) para 42%,F
Alguém sabe explicar o porquê disso? Tem gente mais otimista que vai culpar o Felipão e sua turma da humilhante goleada por 7 a 1 para a Alemanha,NF
Posso falar? Eu não acho que é só isso,NF
"Análise técnica é individual e quer queira, quer não, o Tite conseguiu resgatar um pouco o espírito vitorioso da nossa Seleção",NF
O grande problema do desinteresse repentino do povo pela Copa na minha visão é a rede de CORRUPÇÃO e de LAVAGEM DE DINHEIRO que foi instalada na CBF pelos últimos presidentes em pelo menos três décadas,NF
Todos os cartolas ou estão presos ou são procurados pela polícia internacional por PICARETAGEM pesada,NF
Paira no próprio comandante a desconfiança nas convocações,NF
Ainda mais vendo nomes constantes e inexplicáveis como Taison e Ismaily,NF
É mole?Portanto é mais do que justificável esse pé atrás do povo com a Seleção da CBF,NF
"Porque a verdade é essa, não é? A Confederação é uma entidade privada que só faz é arrecadar dinheiro as custas do amor do brasileiro pelo futebol",NF
Sinceramente acho que algo deveria mudar nesse meio do caminho,NF
Com direito a alguma intervenção do governo,NF
Não resta dúvida de que o Palmeiras hoje tem um dos melhores elencos da América,NF
Sem dúvida é o grande favorito para a conquista da Libertadores,NF
Até porque analisando os outros times da competição não vi até agora NENHUM gringo a altura do Verdão,NF
"Até o tradicional e competitivo Boca Juniors, virtual campeão argentino, levou uma baita SURRA dos comandados do Roger lá na temida La Bombonera",NF
E com a vitória desta quarta diante do fraco Alianza Lima no Peru o Palmeiras praticamente garantiu a liderança da classificação geral da competição,F
"Só faria frente ao Palmeiras pra mim os brasileiros Cruzeiro e Grêmio, do ponto de vista técnico, e o Corinthians pela rivalidade (isso se o Timão classificar!)",NF
E é justamente aí que mora o perigo,NF
A partir da próxima fase já são jogos em formato mata-mata e essa boleirada alviverde tem encontrado uma dificuldade enorme de encarar jogos GRANDES,NF
Decisões! Foi assim no Paulistão,NF
Perdeu um campeonato praticamente ganho porque não suportou a pressão da final em casa diante de seu estádio lotado,NF
"Qualquer papo de influência de arbitragem é CHORADEIRA, é querer desviar o foco, porque ficou nítido que o time PIPOCOU em campo",NF
Veremos se essa turma terá controle emocional para conquistar um título em 2018,NF
E diante de todo o investimento milionário que o clube vem fazendo nos últimos anos isso é sim uma OBRIGAÇÃO,NF
"O torcedor alviverde, que são extremamente críticos com minhas opiniões, sabem disso",NF
"Acredito que se for conquistar algo, esse Palmeiras estaria mais próximo do Brasileirão que Libertadores",NF
Realmente esses caras não me passam confiança nem aquela 'pegada' na hora H,NF
"Um velho e sábio ditado no futebol já diz: ""Todo grande time começa por um grande goleiro""",F
"Difícil discordar disso, afinal analisando as maiores equipes do País todas tinham grandes goleiros",NF
"Só pra relembrar alguns na história, Gilmar dos Santos Neves marcou época no Santos de Pelé, o Leão fechava o gol na Academia do Palmeiras, e o que dizer o Raul Plassmann como camisa 1 do excelente time do Flamengo campeão do Mundo em 81? teve também Zetti no Tricolor bimundial",NF
Depois Marcos e Rogério Ceni marcaram época no futebol paulista,NF
"Pois é, e falando de Seleção Brasileira acho que a responsabilidade aumenta",NF
Dos goleiros campeões do mundo com a camisa verde-amarela talvez apenas Felix não fosse uma unanimidade nacional,NF
Ainda assim fez uma baita Copa do Mundo em 1970,NF
Taffarel foi crucial em 94 defendendo até pênalti na final contra a Itália,NF
Só que sinceramente esse Mundial da Rússia me preocupa,NF
Vixe Maria! Esse rapaz Alisson não me passa confiança nenhuma,NF
Pra falar a verdade até vi grandes atuações dele com a camisa da Roma,NF
Só que nesses últimos jogos da Liga dos Campeões me passaram uma desconfiança MONSTRA,NF
"Somando as quartas e as semifinais, em quatro partidas ele tomou 11 gols",F
Isso mesmo! 11 gols! Número muito alto para um goleiro de nível de Seleção,NF
Aí a garotada da geração PlayStation ou aqueles mais apaixonados pelo cara - porque ele é bonito talvez? - vão defendê-lo dizendo que não houve falhas,NF
Tiveram várias sim,NF
"Talvez não frango, mas muitos erros de saída e posicionamento",NF
"São por situações como essas que me pergunto se ele é o cara ideal para vestir a camisa 1 da Seleção Brasileira na Copa, sinceramente não acho",NF
Tem muitos outros por aqui que pra mim estão em um nível acima,NF
"Se vão me chamar de clubista por preferir o corintiano Cássio, então dou outras opções como Marcelo Grohe, Fábio, Vanderlei e até o Jaílson do Palmeiras",NF
Todos pra mim tecnicamente estão vivendo um momento melhor na carreira,NF
Já vi o Brasil perder a Copa por causa de falhas de goleiros,NF
Espero que não aconteça de novo por insistência do Tite,NF
"Alguém aí acompanhou o jogo entre Vasco e Cruzeiro em São Januário? Vixe Maria! Por mais que o torcedor cruz-maltino ainda alimentasse uma esperança de classificação na Libertadores, qualquer pessoa que entenda o mínimo de futebol sabia que as chances eram bem remotas",NF
"Mas bem remotas mesmo! E não falo nem só por causa da baixa pontuação dentro do grupo, mas principalmente pela bolinha que o time vem jogando em 2018",NF
"Na boa? O Vasco foi vice do Estadual, só que o Cariocão não é parâmetro, e a campanha na Libertadores expressou bem isso",NF
Ridícula! O time do Zé Ricardo foi simplesmente MASSACRADO dentro de casa,NF
"Sassá, Thiago Neves e companhia deitaram e rolaram na zaga carioca",NF
"Uma goleada que expressa bem também a volta da boa fase da Raposa, que deu uma patinada e já retomou o rumo dos bons resultados",NF
Pra mim a equipe do Mano é muito boa e é forte candidata ao título dessa Libertadores,NF
Já em Itaquera o Corinthians sofreu um tremendo APAGÃO no começo do jogo,NF
Levou um gol do Independiente já no primeiro minuto e ainda na sequência sofreu até gol contra do Romero,F
Com 2 a 0 contra no placar o Timão foi forçado a acordar,F
Até pela pressão do estádio que estava simplesmente LOTADO,F
Em uma bela jogada o Jadson diminuiu na etapa inicial,NF
"Na virada de lado os argentinos armaram uma baita RETRANCA, como já era esperado, e conseguiram segurar a vitória",NF
Essa foi a segunda derrota seguida do Timão,F
"Jogou mal? Ao contrário do final de semana contra o Galo, mostrou raça e disposição",NF
"Mas pela forma como o Carille arma a equipe, quando sai atrás do placar os caras tem uma dificuldade enorme para recuperar",NF
Até porque faltam opções ofensivas nesse grupo,NF
Motivo para desespero? Também não,NF
Só que serve de alerta,NF
"Ah, vale lembrar que o Sheik foi bem juvenil, prejudicou qualquer recuperação",NF
"Uma vez o ex-lateral Vítor, que tem no currículo 4 títulos de Libertadores com São Paulo, Vasco e Cruzeiro, esteve no programa 'Os Donos da Bola' da Band e ao se referir a um assunto polêmico sobre um colega de trabalho, também ex-jogador, falou: quem é da espécie defende a espécie",F
Aquilo sinceramente me marcou,NF
Sempre achei que na época em que eu jogava bola faltava aos atletas um pouco mais de união,NF
O individualismo até certo ponto atrapalhou as relações de amizade a longo prazo da minha geração,NF
"Mas hoje, graças ao Vítor, penso diferente",NF
"O que a SPORTV fez com o Juninho Pernambucano, hoje comentarista do canal, foi uma baita TRAIRAGEM",NF
"Sacanagem das 'brabas'! O ex-meio-campista, ídolo do Vasco e Lyon da França, só fez dar sua opinião - o que ele é pago pra isso, diga-se de passagem! - sobre jornalistas setoristas tendenciosos e foi duramente criticado AO VIVO pela direção da emissora",NF
Ridículo! O André Rizek levou um comunicado na frente do cara e o deixou em uma tremenda saia justa,NF
Até entendo que a Globo/Sportv tenha uma política meio 'caixas' e limite a liberdade de seus profissionais,NF
"Mas daí a expor um cara como o Juninho, não tem o menor sentido",NF
"Veja bem, não gostaram? Espera acabar o programa e fala com o cara",NF
"Aliás, imaginava que por lá eles já teriam que seguir previamente uma cartilha",NF
Portanto sou TOTALMENTE solidário ao Juninho,NF
E mais! Ele tem razão sim,NF
"Vários setoristas do passado, do presente e também do futuro fazem muita maldade com o atleta",NF
Inventam notícia e tudo mais,NF
Usam a mídia de maneira negativa,NF
"São por situações como essas que valorizo - E MUITO! - meu trabalho na Band, onde tenho liberdade total para dar minhas opiniões",NF
"Sempre baseadas na minha verdade, doa a quem doer",NF
Não deu outra! Mesmo com todas as provocações dos jogadores do Bayern o Real Madrid chega em mais uma final de Liga dos Campeões,NF
Será a quarta decisão nas cinco últimas edições,F
E olha que a turma do Cristiano Ronaldo busca o terceiro título consecutivo,F
Podem falar o que for mas o Real Madrid é indiscutivelmente o maior clube da história do futebol mundial,NF
"Pelo amor de Deus! Como questionar esses caras? E pra coroar todo esse trabalho, após o Zidane assumir o time principal, em 4 de janeiro de 2016, a coisa decolou ainda mais",NF
Conquistou praticamente tudo o que disputou,F
"E quando se trata de Liga dos Campeões então, é impressionante a disposição que o time dele se apresenta",NF
Não perdeu nenhum mata-mara como comandante,F
Agora provavelmente fará em Kiev a final contra o Liverpool da Inglaterra,F
Até porque depois dos 5 a 2 só um novo milagre salva a Roma,NF
Dizer que o Real vai ser campeão é chover no molhado,NF
Pra mim é sem dúvida o principal favorito,NF
"Mas é verdade também que os ingleses tem um ataque poderoso com Salah, Mané é Roberto Firmino",NF
Só que os merengues ganham ainda mais força nesses momento,NF
"O emocional de caras como Cristiano Ronaldo, Sérgio Ramos e Benzemá é algo impressionante! Nada abala",NF
"Olha, vou ser bem sincero, o Barça do Messi encantava o mundo até pouco tempo atrás com seu poder de posse de bola e disposição tática, mas NINGUÉM no mundo da bola tem tanta VOCAÇÃO para ser campeão igual ao Real Madrid",NF
"O curioso é que sempre quando isso acontece - e acontece desde que Charles Miller trouxe o futebol para o Brasil em 1894 - se levanta a possibilidade da implementação do sistema de árbitro de vídeo, mundialmente conhecido como VAR (sigla em inglês de video assistant referee ou árbitro assistente de vídeo)",F
No início desse ano existiu uma reunião entre os principais clubes do País para votar nisso,F
"Alguns deles, entre eles o Cruzeiro, Corinthians e Santos, recusaram a tecnologia dizendo que esse seria um alto custo nos cofres dos clubes",F
"Segundo a maioria que votou contrária, isso deveria ser um dinheiro gasto pela CBF",F
E posso falar? Também acho que deveria ser,NF
Uma entidade milionária e comprovadamente CORRUPTA deveria pelo menos tentar MORALIZAR o esporte por aqui,NF
E a tendência é que em breve o tal do VAR seja aprovado,F
Será até meio forçado tendo em vista tamanha incompetência na arbitragem por aqui,NF
"A defesa do Internacional fez uma ótima partida, em jogo tenso válido pela quinta rodada do Campeonato Brasileiro",NF
"Com o ponto conquistado fora de casa, o time colorado fica na 13ª posição, com cinco pontos",F
"Apesar do empate com gosto de derrota, a equipe tricolor sobe três colocações e dorme na vice-liderança da competição, com oito pontos",F
"Antes de a bola rolar no Gre-Nal 416, os times e as duas torcidas renderam homenagem ao ex-presidente tricolor e do Clube dos 13, Fábio Koff, que morreu quinta-feira, aos 86 anos",F
Mas bastou o árbitro apitar o início da partida para que a aparente sintonia de fora de campo desse lugar à tensão dentro das quatro linhas,NF
Logo aos 2 minutos veio a primeira confusão,F
Cuesta acertou Luan e os jogadores discutiram no meio-campo,F
Foram apartados pelo juiz Wilton Pereira Sampaio,F
Entradas duras e as farpas entre os jogadores deram o tom durante todo o jogo,NF
O Grêmio foi mais time ao longo dos 90 minutos,NF
"Buscou o gol a todo instante, com triangulações de Arthur, Alison e Luan",NF
"Jogou no campo de ataque, mas sem agredir o rival",NF
Pouco entrou na área do Inter,NF
"Mesmo que seja estratégia, chama atenção como o Inter não consegue ficar com a bola",NF
"Grêmio domina amplamente o jogo, embora com poucos espaços na entrada da área",NF
"Com Inter bem encaixado na marcação, Luan recuou para tentar construir as jogadas",NF
Os volantes Maicon e Arthur avançaram em busca de espaço ofensivo,F
"Mas nada disso superou a barreira colorada, que contou com boa atuação do lateral Zeca, fechando pelo meio a pedido do técnico Odair Hellman",NF
"Zeca, por sinal, fez a sua estreia com a camisa colorada neste sábado",F
"Sem D'Alessandro, com dores musculares, faltou qualidade ao Inter para ficar com a bola, trocar passes e envolver o adversário",NF
"A proposta do colorado de jogar fechado, com marcação atrás da linha divisória do gramado, foi eficiente",NF
"Apesar de o Grêmio ter cerca de 70% de posse de bola, não criou muitas chances reais de gol",F
"No fim do primeiro tempo, o zagueiro Geromel cabeceou com perigo, após escanteio batido da esquerda",NF
"Os gremistas também reclamaram pênalti sobre o lateral Cortez, mas o árbitro mandou seguir",F
O Grêmio voltou mais agressivo na segunda etapa,NF
"Logo no primeiro minuto, Luan cruzou pela direita e o atacante André, na linha da pequena área, sozinho, finalizou de pé esquerdo por cima do gol",F
Depois disso foi praticamente jogo de ataque contra defesa,NF
"Aos 35 minutos, o lance mais perigoso",NF
"Após escanteio, Madson cabeceou e Danilo Fernandes fez ótima defesa",NF
"No rebote, Geromel desperdiçou",F
"Com o bloqueio dos jogadores do Inter na frente da área, a equipe do técnico Renato Gaúcho virava a bola de um lado para outro para abrir espaços na trincheira adversária",F
Os chutes de Luan e Allison assustaram o goleiro Danilo Fernandes,NF
"No último lance da partida, em ataque do Grêmio, torcedores jogaram sinalizador para dentro do gramado",F
"No fim, prevaleceu a defesa do Inter sobre o ataque do Grêmio e a partida terminou 0 a 0",F
"Após o apito final, confusão entre D'Alessandro, que estava no banco de reservas, e Luan, na saída do campo, mas sem consequências",F
"Na sequência do Brasileirão, o Inter pega a Chapecoense, dia 21, no Beira-Rio",F
"Já o Grêmio visita o Paraná, dia 20",F
"Antes, na terça-feira, encara o Monagas, na Venezuela, pela quinta rodada da fase de grupos da Libertadores",F
Clássico é clássico,F
"Mesmo pior posicionado na tabela de classificação e jogando fora de casa, o Avaí venceu o Figueirense na tarde deste sábado, por 1 a 0, diante de um público superior a 13 mil pessoas no estádio Orlando Scarpelli",F
O jogo foi válido pela quinta rodada do Campeonato Brasileiro da Série B,F
"O gol de Rodrigão no início do segundo tempo fez o Avaí chegar aos oito pontos e subir para a oitava colocação, encostando no rival Figueirense, que conheceu a segunda derrota seguida e estacionou nos nove, perdendo a chance de entrar no G4 (zona de classificação à elite)",F
O primeiro tempo foi bastante truncado e com poucos lances de perigo,NF
"Jogando em casa, o Figueirense teve mais posse de bola e criou sua melhor oportunidade com Gustavo Ferrareis, que desviou cruzamento de João Paulo e só não marcou porque Betão salvou quase em cima da linha",F
"Mesmo com uma postura mais defensiva, o Avaí também criou boas oportunidades",NF
"No último lance do primeiro tempo, Nogueira afastou mal cruzamento e a bola ficou com Romulo, que bateu rasteiro para a defesa segura de Denis",F
"O segundo tempo foi dominado pelo Avaí, que antes de abrir o placar aos 18 minutos havia criado duas oportunidades com Renato",F
"Capa cruzou, Rodrigão cabeceou para grande defesa de Denis",F
"No rebote, Renato chutou em cima de Eduardo e a bola voltou para Rodrigão marcar num chute mascado",F
O Figueirense não conseguia esboçar uma pressão e ainda viu o Avaí ter um gol de Rodrigão anulado,F
"Nos minutos finais, os donos da casa abusaram das bolas aéreas, mas a zaga adversária ganhou todas",F
"O Figueirense volta a campo na próxima sexta-feira, contra o Fortaleza, às 21h30, de novo em Florianópolis (SC), enquanto o Avaí enfrenta o CRB já na terça-feira, às 19h15, no estádio Rei Pelé, em Maceió (AL)",F
Os jogos são válidos pela sexta rodada,F
"Em sua última partida como mandante nesta edição do Campeonato Espanhol, o Real Madrid aplicou uma goleada por 6 a 0 sobre o Celta, neste sábado, no estádio Santiago Bernabéu, em confronto válido pela penúltima rodada da competição nacional",F
"O time comandado por Zinedine Zidane foi arrasador desde o início e com 32 minutos já vencia a equipe de Vigo por 3 a 0, com dois gols do galês Gareth Bale e um do meia espanhol Isco",F
"Na etapa final, o marroquino Achraf Hakimi, Sergi Gomez (contra) e o alemão Toni Kroos marcaram mais três vezes e decretaram a impiedosa goleada",F
"E o massacre do Real aconteceu mesmo sem a presença em campo do atacante Cristiano Ronaldo, que se recupera de lesão sofrida no clássico contra o Barcelona",F
"Com o resultado, o Real chegou aos 75 pontos na terceira posição e ainda se manteve vivo na luta pelo vice-campeonato do Campeonato Espanhol, no qual fechará a sua campanha no próximo dia 19, contra o Villarreal, fora de casa",F
"Para isso, porém, precisará vencer o adversário e ainda contar com uma derrota do Atlético de Madrid, vice-líder, com 78 pontos, para o Eibar, na capital espanhola, no dia 20, em outro confronto pela rodada derradeira da competição",F
"O triunfo expressivo deste sábado também serviu para o Real se redimir da derrota por 3 a 2 para o Sevilla, sofrida na última quarta-feira, fora de casa, em confronto atrasado válido pela 34ª rodada do Espanhol",F
"Antes disso, o time havia arrancado um empate por 2 a 2 com o Barcelona, no Camp Nou, no clássico",F
"Ao ser massacrado neste sábado, o Celta estacionou nos 46 pontos e ocupa a 13ª posição, antes de fechar a sua campanha contra o Levante, em Vigo, no próximo dia 19, na partida que abrirá a última rodada do Campeonato Espanhol",F
"Sem risco de ser rebaixado e fora da briga por vaga em competições continentais, o Celta apenas tentará deixar uma boa impressão para a sua torcida neste confronto",NF
"Neste domingo, no complemento da penúltima rodada, o Espanyol, 15º colocado, enfrenta o rebaixado Málaga, em casa, com a chance de se igualar ao Celta com 46 pontos",F
"No outro duelo do dia, o Barcelona, campeão por antecipação, com 90 pontos, enfrenta o Levante, no campo do adversário, com o objetivo de ampliar a sua invencibilidade - acumula 27 vitórias e nove empates em 36 jogos nesta edição da competição",F
"O Atlético de Madrid bateu o Getafe por 1 a 0, fora de casa, tarde deste sábado, e se aproximou do vice-campeonato espanhol",F
"Faltando apenas uma rodada para o fim da competição, a equipe do técnico Diego Simeone chegou aos 78 pontos, seis a mais do que o Real Madrid, terceiro colocado, que joga ainda neste sábado contra o Celta de Vigo",F
"O gol da vitória do Atlético foi marcado por Koke, aos 8 minutos do primeiro tempo",F
"O goleiro Jan Oblak garantiu os três pontos ao pegar pênalti no fim do jogo, marcado por disputas fortes no meio-campo e poucas chances reais de gol",F
"O time do lateral brasileiro Filipe Luís pega o Eibar, que chegou aos 50 pontos, na nona posição, após vitória sobre o Las Palmas, por 1 a 0",F
Conquista cada vez mais distante,F
"Com a derrota, o Getafe viu a sua almejada conquista da vaga na Liga Europa ficar mais distante",F
"Neste duelo, o Betis abriu o placar com um gol de Marc Bartra aos 5 minutos do primeiro tempo, mas o seu rival virou o jogo na etapa final com Wissam Ben Yedder e Simon Kjaer balançando as redes, aos 12 e aos 34 minutos",F
"A virada, entretanto, durou pouco, pois o Bétis empatou logo em seguida, com Loren Moron, aos 36",F
"Em outro jogo encerrado há pouco neste sábado, o quarto colocado Valencia fez 1 a 0 no Girona, fora de casa, com um gol de Luciano Dario Vietto, e chegou aos 70 pontos na classificação",F
"Já o Alavés superou o Athletic Bilbao por 3 a 1, em casa, enquanto o Villarreal venceu o Deportivo La Coruña por 4 a 2 como visitante",F
"Neste domingo, no fechamento da 37ª rodada do espanhol, o campeão Barcelona visita o Levante e o Espanyol recebe o já rebaixado Málaga",F
"O Palmeiras focou jogadas de bola parada em treino deste sábado, o último antes do clássico contra o Corinthians, domingo, às 16h em Itaquera, pela quinta rodada do Campeonato Brasileiro",F
"A atividade realizada na Academia de Futebol também teve toques rápidos, em espaços curtos, e finalizações",F
O tradicional rachão fechou o trabalho,F
"Apesar da descontração na véspera do clássico, o Palmeiras vai para o duelo confiante em seguir como visitante indigesto em 2018",NF
"Fora de casa neste ano, a equipe venceu 12 vezes, em 15 jogos",F
"Respeitável aproveitamento de 84,4%, o melhor retrospecto do Brasil",F
"A única derrota na temporada até agora ocorreu justamente na Arena Corinthians, contra o rival, na fase de grupos do Paulistão",F
"Por outro lado, o Palmeiras é o clube que mais venceu o adversário em Itaquera: três vezes",F
"No clássico deste domingo, a equipe do técnico Roger Machado fará a quarta partida seguida longe do Allianz Parque",F
"Nos três confrontos anteriores, três vitórias contra Alianza Lima (no Peru, pela Libertadores), Atlético-PR (em Curitiba, pelo Brasileirão) e América-MG (em Belo Horizonte, pela Copa do Brasil)",F
O técnico Roger Machado confirmou a escalação da equipe na sexta-feira,F
"A única alteração em relação ao time que superou o América-MG por 2 a 1, quarta-feira, é a ausência de Felipe Melo, suspenso pelo terceiro cartão amarelo",F
O substituto do volante é Thiago Santos,F
"A equipe, assim, entrará em campo com: Jailson; Marcos Rocha, Antônio Carlos, Edu Dracena e Diogo Barbosa; Thiago Santos, Bruno Henrique e Lucas Lima; Dudu, Keno e Borja",F
"O time do técnico Roger Machado é o vice-líder da competição, com 8 pontos, um na frente do terceiro Corinthians",F
"O Corinthians recebeu o apoio da sua torcida na manhã deste sábado, durante o último treino antes do clássico diante do Palmeiras, domingo, às 16h, na Arena Corinthians, pela quinta rodada do Campeonato Brasileiro",F
A presença dos torcedores para apoiar atletas e comissão técnica tem se tornado tradição antes de partidas importantes,F
Desta vez os torcedores compareceram ao CT Joaquim Grava,F
"Os jogadores retribuíram à manifestação e foram saudar os corintianos que faziam a festa do lado de fora, com bandeiras, fogos de artifício e instrumentos musicais",F
"O técnico Fábio Carille deve manter a equipe que superou o Vitória por 3 a 1, pelas oitavas de final da Copa do Brasil, na quinta-feira",F
"Assim, Pedrinho continua entre os titulares, ao lado de Romero no ataque",F
"Xodó da torcida, ele tem feito boas apresentações",NF
"Depois de se movimentar em curto período no treinamento, o atleta bateu papo individual com o comandante alvinegro",F
"Com Cássio no gol, a linha defensiva será montada com Mantuan, Balbuena, Henrique e Sidcley",F
Gabriel e Maycon farão a proteção da zaga,F
E a armação das jogadas ficará a cargo de Jadson e Rodriguinho,F
"Apesar da atenção especial a Pedrinho, Carille conversou bastante com o elenco durante a atividade",F
Mostrou vídeo aos jogadores e teve longo diálogo com a equipe que iniciará o derby,F
"No campo do CT, o restante do elenco fez trabalho em campo reduzido, com ênfase na rápida troca de passes, marcação, finalização e outros fundamentos",F
"Os desfalques para a partida são Renê Júnior, Ralf, Fagner, Clayson, Léo Santos e Danilo, todos machucados",F
"A equipe está na terceira posição do Brasileirão com sete pontos, um atrás do vice Palmeiras e três do líder Flamengo",F
A temporada terminou de maneira extremamente amarga para o Bayern de Munique,NF
"Campeão antecipado do Campeonato Alemão, a equipe esperava neste sábado se despedir com festa na última rodada da competição, em casa, contra o Stuttgart",NF
Mas foi surpreendida e acabou goleada por 4 a 1,NF
"O resultado se soma à frustração da queda na semifinal da Liga dos Campeões, para o Real Madrid",F
"Ainda assim, o Bayern de Munique terminou o Alemão com 84 pontos, 21 de vantagem para o vice Schalke 04, que também neste sábado superou o Eintracht Frankfurt por 1 a 0",F
"Sem mais pretensões na temporada, o Bayern de Munique entrou em campo com alguns de seus principais jogadores, como Kimmich, Hummels, Thomas Müller, James Rodríguez, Ribéry e Lewandowski, além do brasileiro Rafinha",F
Mas foi surpreendentemente dominado,NF
Daniel Ginczek abriu o placar logo no início para os visitantes e Tolisso ainda empatou aos 22,F
"Mas, em seguida, Anastasios Donis, Chadrac Akolo e novamente Ginczek sacramentaram a goleada que deixou o Stuttgart com 51 pontos, na sétima colocação",F
"Ainda assim, a equipe não se classificou para nenhuma competição europeia",F
"Se as duas primeiras posições estavam definidas, a briga era grande pelas duas colocações seguintes, que valiam uma vaga na Liga dos Campeões",F
"E o Hoffenheim, contando com o apoio de sua torcida, superou o Borussia Dortmund por 3 a 1 e se garantiu na principal competição europeia",F
"A equipe, assim, assumiu a terceira posição com 55 pontos, os mesmos do Borussia Dortmund, quarto colocado e também garantido na Liga dos Campeões",F
"Andrej Kramaric, Adam Szalai e Pavel Kaderabek marcaram os gols do importante triunfo do Hoffenheim - Marco Reus descontou para os visitantes",F
Pior para o Bayer Leverkusen,NF
"A equipe até fez a sua parte, superou o Hannover em casa, por 3 a 2, e também chegou aos 55 pontos",F
"Mas, nos critérios de desempate, terminou na quinta posição e disputará apenas a Liga Europa",F
"Já o RB Leipzig, com um massacre sobre o Hertha Berlin por 6 a 2 fora de casa, chegou aos 53 pontos, assegurou a sexta colocação e ao menos se garantiu nos playoffs da Liga Europa",F
"inda neste sábado, fora de casa, o Werder Bremen derrotou o Mainz por 2 a 1",F
Neymar está liberado para voltar aos treinos,F
"Na manhã deste sábado, 12, o astro foi reavaliado por Rodrigo Lasmar, médico da seleção brasileira, e constatou-se que ele está recuperado de sua cirurgia no quinto metatarso do pé direito",F
"A confirmação veio pelo próprio Paris Saint-Germain, clube do brasileiro",F
"A expectativa, assim, é de que Neymar acompanhe a partida deste sábado contra o Rennes, em Paris, pelo Campeonato Francês, e volte a treinar no domingo",F
"""Os exames realizados hoje (sábado) mostraram uma consolidação bastante satisfatória de sua lesão no quinto metatarso do pé direito"", informou o PSG em seu site oficial",F
"""Neymar Jr começará amanhã sua preparação física com a bola no gramado do Centro de Treinamento Ooredoo""",F
"Neymar fraturou o quinto metatarso em fevereiro, passou por uma cirurgia em março e perdeu o final da temporada do clube francês",F
"Seu retorno aos treinos neste domingo, porém, alimenta a expectativa de que ele chegará em bom ritmo à Copa do Mundo da Rússia, que começa em 14 de junho",F
A liberação do atacante ocorre um dia após a confirmação de que Daniel Alves está fora do Mundial de 2018,F
O companheiro de Neymar do PSG passará por uma cirurgia no joelho direito e ficará seis meses afastado dos gramados,F
"Com a presença certa de Neymar, a convocação da seleção brasileira será realizada nesta segunda-feira",F
"O Brasil estreia no dia 17 de junho, em Rostov, contra a Suíça",F
"Antes disso, o time de Tite se reúne a partir do dia 21 de maio na Granja Comary, em Teresópolis (RJ), para o início da preparação",F
"Depois a delegação embarca para Londres, onde faz sua primeira parada antes de chegar à Rússia",F
"Fábio Carille vai definir o time titular do Corinthians para encarar o Palmeiras neste sábado, em treinamento que será realizado no CT Joaquim Grava, em São Paulo",F
"O treinador falou, em entrevista coletiva nesta sexta-feira, que vê o empate como um resultado maravilhoso para o rival, pelas circunstâncias do clássico, que será disputado neste domingo, na Arena Corinthians",F
"""O Palmeiras está em segundo e um empate para eles aqui é maravilhoso, pois eles vão seguir no bloco de cima",NF
O fato de ter um dia a menos de preparação em comparação ao rival não é algo que parece preocupar Fábio Carille,NF
"O Palmeiras jogou na última quarta-feira contra o América-MG, em Belo Horizonte, enquanto que o Corinthians atuou na quinta diante do Vitória, em São Paulo",F
Ambos pelas oitavas de final da Copa do Brasil,F
"""Quando tem um dia a menos de preparação, não é justo",NF
O jogo ontem (quinta-feira) foi menos intenso,NF
"Acredito que vamos chegar em uma condição muito boa para o clássico"", projetou Fábio Carille",NF
"Sobre a possível formação para iniciar o clássico, o treinador explicou que a dúvida é pela questão física",F
Ele vai aguardar a realização dos exames na manhã deste sábado para saber com quem poderá contar,F
"Caso todos estejam aptos, ele vai repetir a equipe que derrotou o Vitória",F
"Assim, o Corinthians deve ir a campo com Cássio; Mantuan, Balbuena, Henrique e Sidcley; Gabriel e Maycon; Pedrinho, Jadson Rodriguinho e Romero",F
"Vale lembrar que durante o treinamento deste sábado, a Gaviões da Fiel, principal torcida organizada do clube, promete fazer uma manifestação de apoio na frente do CT Joaquim Grava",F
"Com um time misto, o Manchester United ficou no empate sem gols com o West Ham nesta quinta-feira, em casa, e confirmou a segunda colocação no Campeonato Inglês, a uma rodada do final",F
"Com o resultado, a equipe anfitriã foi a 78 pontos e não pode mais ser alcançada pelo Tottenham, que está em terceiro lugar com 74",F
"O Manchester City, campeão antecipado, lidera com 97 pontos",F
Os três primeiros colocados já estão garantidos na Liga dos Campeões e a última rodada da competição definirá quem ficará com a quarta vaga,F
"A briga está entre o Liverpool, atual quarto colocado com 72 pontos, e o Chelsea, que está em quinto, com 70 pontos",F
"A rodada final do Inglês acontecerá toda no domingo, às 11 horas (de Brasília)",F
"O Liverpool receberá o Brighton & Hove Albion, 14º na tabela com 40 pontos",F
"O Chelsea visitará o Newcastle, que está em décimo, com 41",F
"O Manchester United cumpre tabela contra o Watford, em casa",F
"O West Ham, 15º colocado com 39 pontos, também joga sem objetivos contra o Everton, em casa",F
"Além da disputa pela Liga dos Campeões, a última rodada sacramentará também a terceira vaga do rebaixamento",F
"A não ser que aconteça um milagre, o Swansea será confirmado na segunda divisão",NF
